Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20028001017,0,0,0,0
2020,CB2020,005,2,Bronx,20028002000,1894,789,1105,18.87
2020,CB2020,005,2,Bronx,20028003000,1124,504,620,9.49
2020,CB2020,005,2,Bronx,20028004000,1402,572,830,9.36
2020,CB2020,005,2,Bronx,20031001000,798,357,441,2.61
2020,CB2020,005,2,Bronx,20031001001,1070,466,604,3.34
2020,CB2020,005,2,Bronx,20031001002,0,0,0,1.54
2020,CB2020,005,2,Bronx,20031001003,553,263,290,4.47
2020,CB2020,005,2,Bronx,20031001004,417,169,248,2.48
2020,CB2020,005,2,Bronx,20031001005,53,18,35,4.42
2020,CB2020,005,2,Bronx,20031001006,73,56,17,2.58
2020,CB2020,005,2,Bronx,20031001007,0,0,0,1.82
2020,CB2020,005,2,Bronx,20031001008,0,0,0,9.11
2020,CB2020,005,2,Bronx,20031001009,0,0,0,5.87
2020,CB2020,005,2,Bronx,20033001000,59,35,24,2.5
2020,CB2020,005,2,Bronx,20033001001,0,0,0,2.28
2020,CB2020,005,2,Bronx,20033001002,132,66,66,1.92
2020,CB2020,005,2,Bronx,20033001003,140,62,78,1.82
2020,CB2020,005,2,Bronx,20033001004,300,128,172,2.51
2020,CB2020,005,2,Bronx,20033001005,209,115,94,2.53
2020,CB2020,005,2,Bronx,20033001006,0,0,0,5.78
2020,CB2020,005,2,Bronx,20033002000,272,140,132,4.33
2020,CB2020,005,2,Bronx,20033002001,1053,456,597,4.26
2020,CB2020,005,2,Bronx,20033003000,151,68,83,1.73
2020,CB2020,005,2,Bronx,20033003001,651,314,337,3.84
2020,CB2020,005,2,Bronx,20033003002,313,123,190,1.99
2020,CB2020,005,2,Bronx,20033003003,409,171,238,2.15
2020,CB2020,005,2,Bronx,20035001000,0,0,0,2.94
2020,CB2020,005,2,Bronx,20035001001,504,238,266,2.86
2020,CB2020,005,2,Bronx,20035001002,21,10,11,2.86
2020,CB2020,005,2,Bronx,20035001003,147,58,89,1.99
2020,CB2020,005,2,Bronx,20035001004,39,18,21,1.99
2020,CB2020,005,2,Bronx,20035001005,62,34,28,2.12
2020,CB2020,005,2,Bronx,20035001006,0,0,0,2.12
2020,CB2020,005,2,Bronx,20035001007,0,0,0,1.96
2020,CB2020,005,2,Bronx,20035001008,138,69,69,1.95
2020,CB2020,005,2,Bronx,20035002000,1502,626,876,4.36
2020,CB2020,005,2,Bronx,20035003000,417,209,208,3.31
2020,CB2020,005,2,Bronx,20035003001,505,265,240,3.31
2020,CB2020,005,2,Bronx,20035003002,391,201,190,3.32
2020,CB2020,005,2,Bronx,20037001000,340,163,177,41.01
2020,CB2020,005,2,Bronx,20038001000,498,225,273,4.8
2020,CB2020,005,2,Bronx,20038001001,569,257,312,4.68
2020,CB2020,005,2,Bronx,20038001002,616,280,336,4.15
2020,CB2020,005,2,Bronx,20038001003,0,0,0,1.42
2020,CB2020,005,2,Bronx,20038001004,0,0,0,0.62
2020,CB2020,005,2,Bronx,20039001000,581,301,280,6.95
2020,CB2020,005,2,Bronx,20039001001,672,328,344,3.6
2020,CB2020,005,2,Bronx,20039002000,580,241,339,8.52
2020,CB2020,005,2,Bronx,20039002001,1035,575,460,4.6
2020,CB2020,005,2,Bronx,20039003000,304,161,143,2.21
2020,CB2020,005,2,Bronx,20039003001,133,55,78,3
2020,CB2020,005,2,Bronx,20039003002,556,290,266,3.84
2020,CB2020,005,2,Bronx,20039004000,1034,500,534,6.6
2020,CB2020,005,2,Bronx,20039005000,512,264,248,6.73
2020,CB2020,005,2,Bronx,20039005001,938,447,491,7.39
2020,CB2020,005,2,Bronx,20040011000,394,200,194,5.49
2020,CB2020,005,2,Bronx,20040011001,88,34,54,5.22
2020,CB2020,005,2,Bronx,20040011002,222,102,120,4.97
2020,CB2020,005,2,Bronx,20040011003,506,198,308,4.69
2020,CB2020,005,2,Bronx,20040011004,295,187,108,5.48
2020,CB2020,005,2,Bronx,20040011005,234,137,97,4.58
2020,CB2020,005,2,Bronx,20041001000,798,357,441,3.37
2020,CB2020,005,2,Bronx,20041001001,505,239,266,3.8
2020,CB2020,005,2,Bronx,20041001002,375,172,203,4.57
2020,CB2020,005,2,Bronx,20041002000,549,281,268,6.18
2020,CB2020,005,2,Bronx,20041002001,825,365,460,6.19
2020,CB2020,005,2,Bronx,20041002002,346,191,155,6.98
2020,CB2020,005,2,Bronx,20041003000,1,0,1,0.65
2020,CB2020,005,2,Bronx,20041003001,122,64,58,1.4
2020,CB2020,005,2,Bronx,20041004000,671,279,392,4.23
2020,CB2020,005,2,Bronx,20041004001,1954,832,1122,8.29
2020,CB2020,005,2,Bronx,20042001000,725,324,401,6.45
2020,CB2020,005,2,Bronx,20042001001,0,0,0,0.63
2020,CB2020,005,2,Bronx,20042001002,28,11,17,4.5
2020,CB2020,005,2,Bronx,20042002000,2272,921,1351,17.77
2020,CB2020,005,2,Bronx,20042002001,0,0,0,0.52
2020,CB2020,005,2,Bronx,20042003000,0,0,0,1.64
2020,CB2020,005,2,Bronx,20042003001,0,0,0,1.92
2020,CB2020,005,2,Bronx,20042003002,0,0,0,0.56
2020,CB2020,005,2,Bronx,20042003003,0,0,0,0.68
2020,CB2020,005,2,Bronx,20042003004,0,0,0,1.22
2020,CB2020,005,2,Bronx,20042003005,0,0,0,1.92
2020,CB2020,005,2,Bronx,20042003006,0,0,0,2.3
2020,CB2020,005,2,Bronx,20042003007,0,0,0,1.82
2020,CB2020,005,2,Bronx,20042003008,1237,583,654,6.61
2020,CB2020,005,2,Bronx,20042003009,277,128,149,3.59
2020,CB2020,005,2,Bronx,20042003010,0,0,0,0.6
2020,CB2020,005,2,Bronx,20042004000,746,310,436,4.82
2020,CB2020,005,2,Bronx,20042004001,0,0,0,5
2020,CB2020,005,2,Bronx,20042005000,0,0,0,2.96
2020,CB2020,005,2,Bronx,20042005001,514,214,300,3.2
2020,CB2020,005,2,Bronx,20042005002,0,0,0,4.84
2020,CB2020,005,2,Bronx,20042005003,0,0,0,5.22
2020,CB2020,005,2,Bronx,20042005004,426,191,235,4.83
2020,CB2020,005,2,Bronx,20042006000,0,0,0,2.22
2020,CB2020,005,2,Bronx,20042006001,0,0,0,0.89
2020,CB2020,005,2,Bronx,20042006002,0,0,0,2.36
2020,CB2020,005,2,Bronx,20042006003,0,0,0,11.33
2020,CB2020,005,2,Bronx,20042006004,0,0,0,10.76
2020,CB2020,005,2,Bronx,20042007000,976,403,573,8.26
2020,CB2020,005,2,Bronx,20043001000,507,256,251,3.66
2020,CB2020,005,2,Bronx,20043001001,335,246,89,4.24
2020,CB2020,005,2,Bronx,20043001002,313,140,173,3.62
2020,CB2020,005,2,Bronx,20043002000,0,0,0,1.61
2020,CB2020,005,2,Bronx,20043002001,0,0,0,0.28
2020,CB2020,005,2,Bronx,20043002002,179,107,72,1.01
2020,CB2020,005,2,Bronx,20043002003,22,10,12,0.64
2020,CB2020,005,2,Bronx,20043002004,660,313,347,5.05
